:START_ID,:END_ID,:TYPE,restriction,restriction_value,label
owl.Nothing,owl.Thing,is_a,,,
Thesaurus.C103180,obo.OBI_0000658,is_a,,,
MESH.D000047,DUL.Organization,is_a,,,
MESH.D000073576,DUL.Organization,is_a,,,
MESH.D002608,DUL.Organization,is_a,,,
MESH.D005582,MESH.D009939,is_a,,,
MESH.D006077,DUL.Organization,is_a,,,
MESH.D009111,MESH.D006077,is_a,,,
MESH.D009939,DUL.Organization,is_a,,,
MESH.D013219,MESH.D006077,is_a,,,
MESH.D035082,MESH.D006077,is_a,,,
obo.AGRO_00000025,obo.AGRO_00002071,is_a,,,
obo.AGRO_00000322,obo.AGRO_00002071,is_a,,,
obo.AGRO_00000360,obo.ENVO_01000408,is_a,,,
obo.AGRO_00000363,obo.AGRO_00000360,is_a,,,
obo.AGRO_00002071,obo.OBI_0000011,is_a,,,
obo.AGRO_01000020,obo.AGRO_00002071,is_a,,,
obo.APOLLO_SV_00000032,obo.IAO_0000109,is_a,,,
obo.APOLLO_SV_00000522,obo.IAO_0000310,is_a,,,
UPPER_BLANK_0,obo.APOLLO_SV_00000522,is_a,,,
UPPER_BLANK_0,obo.IAO_0000096,obo.BFO_0000051,SOME,,has part;has part;has_part
UPPER_BLANK_1,obo.APOLLO_SV_00000522,is_a,,,
UPPER_BLANK_1,UPPER_AND_0,obo.BFO_0000051,SOME,,has part;has part;has_part
obo.IAO_0000027,UPPER_AND_0,member_of,SOME,,
UPPER_BLANK_2,UPPER_AND_0,member_of,SOME,,
UPPER_BLANK_2,obo.IAO_0000096,obo.IAO_0000136,SOME,,is about
obo.APOLLO_SV_00000796,obo.OBI_0000011,is_a,,,
obo.BFO_0000001,owl.Thing,is_a,,,
obo.BFO_0000002,obo.BFO_0000001,is_a,,,
UPPER_BLANK_3,obo.BFO_0000002,is_a,,,
UPPER_BLANK_3,obo.BFO_0000002,obo.BFO_0000050,ONLY,,part of;part of;part_of
UPPER_BLANK_4,obo.BFO_0000002,is_a,,,
UPPER_BLANK_4,obo.BFO_0000002,obo.RO_0002214,ONLY,,has prototype;has prototype
UPPER_BLANK_5,obo.BFO_0000002,is_a,,,
UPPER_BLANK_5,obo.BFO_0000002,obo.RO_HOM0000000,ONLY,,in similarity relationship with
obo.BFO_0000003,obo.BFO_0000001,is_a,,,
UPPER_BLANK_6,obo.BFO_0000003,is_a,,,
UPPER_BLANK_6,obo.BFO_0000003,obo.BFO_0000050,ONLY,,part of;part of;part_of
UPPER_BLANK_7,obo.BFO_0000003,is_a,,,
UPPER_BLANK_7,obo.BFO_0000003,obo.RO_HOM0000000,ONLY,,in similarity relationship with
obo.BFO_0000004,obo.BFO_0000002,is_a,,,
UPPER_BLANK_8,obo.BFO_0000004,is_a,,,
UPPER_BLANK_8,obo.BFO_0000004,obo.BFO_0000050,ONLY,,part of;part of;part_of
obo.BFO_0000006,obo.BFO_0000141,is_a,,,
obo.BFO_0000008,obo.BFO_0000003,is_a,,,
obo.BFO_0000009,obo.BFO_0000006,is_a,,,
obo.BFO_0000011,obo.BFO_0000003,is_a,,,
obo.BFO_0000015,obo.BFO_0000003,is_a,,,
UPPER_BLANK_9,obo.BFO_0000015,is_a,,,
UPPER_BLANK_9,obo.BFO_0000015,obo.RO_0002214,ONLY,,has prototype;has prototype
obo.BFO_0000016,obo.BFO_0000017,is_a,,,
obo.BFO_0000017,obo.BFO_0000020,is_a,,,
UPPER_BLANK_10,obo.BFO_0000017,is_a,,,
UPPER_BLANK_10,obo.BFO_0000017,obo.BFO_0000050,ONLY,,part of;part of;part_of
obo.BFO_0000018,obo.BFO_0000006,is_a,,,
