:START_ID,:END_ID,:TYPE,restriction,label
obo.FOODON_00002403,AND_0,equivalent_to,,
obo.ENVO_00010483,AND_0,member_of,,
BLANK_0,AND_0,member_of,,
obo.CHEBI_33290,BLANK_0,obo.RO_0000087,,has role
obo.FOODON_00002403,obo.FOODON_00001002,is_a,,
obo.OBI_0000658,Thesaurus.C103180,is_a,,
obo.IAO_0000033,obo.OBI_0000658,is_a,,
obo.AGRO_00002071,obo.AGRO_00000025,is_a,,
obo.OBI_0000011,obo.AGRO_00002071,is_a,,
obo.AGRO_00002071,obo.AGRO_00000322,is_a,,
obo.ENVO_01000408,obo.AGRO_00000360,is_a,,
obo.BFO_0000029,obo.ENVO_01000408,is_a,,
obo.AGRO_00000360,obo.AGRO_00000363,is_a,,
obo.BFO_0000015,obo.OBI_0000011,is_a,,
obo.AGRO_00002071,obo.AGRO_01000020,is_a,,
obo.OBI_0000011,obo.APOLLO_SV_00000796,is_a,,
owl.Thing,obo.BFO_0000001,is_a,,
obo.BFO_0000001,obo.BFO_0000002,is_a,,
BLANK_1,obo.BFO_0000002,is_a,,
obo.BFO_0000002,BLANK_1,obo.BFO_0000050,,part of;part of;part_of
obo.BFO_0000001,obo.BFO_0000003,is_a,,
obo.BFO_0000002,obo.BFO_0000004,is_a,,
BLANK_2,obo.BFO_0000004,is_a,,
obo.BFO_0000004,BLANK_2,obo.BFO_0000050,,part of;part of;part_of
obo.BFO_0000002,obo.BFO_0000020,is_a,,
obo.BFO_0000002,obo.BFO_0000031,is_a,,
obo.BFO_0000141,obo.BFO_0000006,is_a,,
obo.BFO_0000004,obo.BFO_0000141,is_a,,
obo.BFO_0000141,obo.BFO_0000029,is_a,,
obo.BFO_0000003,obo.BFO_0000008,is_a,,
obo.BFO_0000003,obo.BFO_0000011,is_a,,
obo.BFO_0000003,obo.BFO_0000015,is_a,,
obo.BFO_0000003,obo.BFO_0000035,is_a,,
obo.BFO_0000006,obo.BFO_0000009,is_a,,
obo.BFO_0000006,obo.BFO_0000028,is_a,,
obo.BFO_0000017,obo.BFO_0000016,is_a,,
obo.BFO_0000020,obo.BFO_0000017,is_a,,
obo.BFO_0000017,obo.BFO_0000023,is_a,,
obo.BFO_0000020,obo.BFO_0000019,is_a,,
obo.BFO_0000006,obo.BFO_0000018,is_a,,
obo.BFO_0000040,obo.BFO_0000024,is_a,,
obo.BFO_0000004,obo.BFO_0000040,is_a,,
obo.BFO_0000006,obo.BFO_0000026,is_a,,
obo.BFO_0000040,obo.BFO_0000027,is_a,,
obo.BFO_0000016,obo.BFO_0000034,is_a,,
obo.BFO_0000008,obo.BFO_0000038,is_a,,
obo.BFO_0000008,obo.BFO_0000148,is_a,,
obo.BFO_0000015,obo.BFO_0000144,is_a,,
obo.BFO_0000015,obo.BFO_0000182,is_a,,
obo.BFO_0000019,obo.BFO_0000145,is_a,,
obo.FOODON_03420127,obo.BTO_0000058,is_a,,
obo.FOODON_03420164,obo.FOODON_03420127,is_a,,
obo.PO_0009011,obo.BTO_0000262,is_a,,
obo.FOODON_03420116,obo.PO_0009011,is_a,,
obo.PO_0025131,obo.PO_0009011,is_a,,
obo.PO_0009011,obo.BTO_0001217,is_a,,
obo.FOODON_03411041,obo.CDNO_0000001,is_a,,
obo.FOODON_00002403,obo.FOODON_03411041,is_a,,
obo.CDNO_0000001,obo.CDNO_0000002,is_a,,
obo.CHEBI_16646,obo.CDNO_0000003,is_a,,
obo.CDNO_0000001,obo.CHEBI_16646,is_a,,
obo.CHEBI_78616,obo.CHEBI_16646,is_a,,
obo.FOODON_03420152,obo.CHEBI_16646,is_a,,
obo.CDNO_0000003,obo.CDNO_0000004,is_a,,
obo.CHEBI_16646,obo.CDNO_0000005,is_a,,
obo.CDNO_0000005,obo.CDNO_0000006,is_a,,
obo.CDNO_0000006,obo.CDNO_0000007,is_a,,
obo.CDNO_0000005,obo.CDNO_0000008,is_a,,
obo.CHEBI_36080,obo.CDNO_0000009,is_a,,
obo.CDNO_0000001,obo.CHEBI_36080,is_a,,
obo.CHEBI_33695,obo.CHEBI_36080,is_a,,
obo.CHEBI_167164,obo.CDNO_0000011,is_a,,
obo.CDNO_0000001,obo.CHEBI_167164,is_a,,
